date,experiment,structure,validation_2023_gain,validation_2024_gain,status,reason
2026-08-18,rf_lgbm_channel,"R/F-separated numeric LightGBM residual",-22.1581,1.5326,rejected,"2023 collapse; error correlation with base 0.999998/0.999997"
2026-08-18,league_type_calibrator,"R/F-specific level and slope Ridge",-27.3497,1.0738,rejected,"F league rate shifted 0.709 to 0.473; no temporal transfer"
2026-08-18,league_level_prior,"R/F level used as hierarchical shrinkage target",-41.7,,rejected,"2022 fixed prior 2394.0 vs league prior 2352.3; direct league target worsened"
2026-08-18,residual_24seed,"24-seed capacity expansion",,,rejected,"site 1124.0855 vs F_regime 1126.4544"
2026-08-18,thin_history_expert,"Career 200-800 pitch residual expert",1.47,4.34,rejected,"rho gain 2022 -5.24; forward-vs-in-year gap identified label-dependent state, not learnable signal"
2026-08-18,starter_bullpen_symmetric,"Starter/bullpen separated residual populations",2.20,,rejected,"rho gain 2022 -7.31 for one channel; three-channel gains 2022 -35.12 and 2023 +3.74"
2026-08-18,bullpen_asymmetric,"Bullpen-only specialist with shared model elsewhere",3.98,-0.49,rejected,"rho gain 2022 +1.30 but 2024 negative; all three channels gave 2024 -16.24"
2026-08-18,bullpen_hitter_count,"Bullpen specialist restricted to hitter-advantage counts",2.14,,rejected,"rho gain 2022 -0.92; smaller coverage did not reproduce the F-league effect"
2026-08-18,season_state_crossfit,"Low-dimensional current-season state correction trained from four-year unified OOF",3.6549,1.0149,rejected,"rho/BSS gain 2022 -3.1300 at weakest scale 0.05"
2026-08-18,pitch_mixture_crossfit,"Trackman soft pitch-family mixture-of-experts",-2.3451,-1.6899,rejected,"worst gain 2022 -8.7807; changing weighted target population did not transfer"
2026-08-18,lambdarank_crossfit,"Pitcher-season LambdaRank channel targeting rho",0.0,1.8501,rejected,"optimal blend weight was zero in 2022 and 2023; 2024-only gain"
2026-08-18,f_direct_crossfit,"F-only direct probability classifier blended with strict OOF base",-8.3158,-0.0119,rejected,"2022 +4.7716 but direct F level failed the 2023 regime shift"
2026-08-18,f_regime_strength_075,"All F-regime corrections scaled to 0.75",,,experimental,"leaderboard quadratic from F-expert/1.0x/1.25x has optimum 0.712 and predicts about 1127.26 at 0.75"
2026-08-18,team_asof_posthoc,"Train-only EB pitcher-team/batter-team rate and matchup gap",22.9465,12.8007,rejected,"2022 +0.3121 on strict base but 2024 -3.3538 over actual F-regime; correction overlapped incumbent"
2026-08-18,team_asof_tree,"Explicit team EB rates added to residual CatBoost inputs",, ,rejected,"2022 score 2388.81 vs incumbent 2394.0; stopped under all-years-positive rule"
2026-08-18,thin_history_expert,Residual expert on returning pitchers with 200-800 career pitches (5.8% of rows),-5.24,+4.34,rejected,"2022 negative at every scale; forward-vs-in-year gap marks where labels are needed, not where signal is learnable"
2026-08-18,role_split_channels,Starter/reliever residual channels refit on each population (F-expert shape),-7.31,+2.20 (2023),rejected,2022 -7.31 / -35.12; sample loss from splitting 75% of rows outweighs the shape difference
2026-08-18,f_recent_v2_channel,"F v2 residual trained on 2023 only and mixed with all-history F v2",,0.12196,rejected,"channel-isolated sweep preferred a negative recent weight (-0.30); the apparent whole-prediction midpoint gain was a channel-confounding artifact"
2026-08-18,period_multichannel_over_f,"Period-specific partial-pooling controller blended over F-regime",,0.91802,rejected,"2024-only small gain at weight 0.15; far below required magnitude and no three-season evidence"
2026-08-18,crossseason_partial_pool_over_f,"Prior-season pitcher×batter-hand residual lookup blended over F-regime",,2.65394,experimental,"largest new 2024 screen at weight 0.30, but the upstream 2022-to-2023 gate transfer was negative; not promoted under all-years-positive rule"
